"id","name","ingredients","time_minutes","calories","difficulty","diet","tags","category","steps"
"161","Pesarattu Upma","green moong dal, rice, ginger, green chili, semolina, onion, carrot, peas, mustard seeds, curry leaves, oil, salt","35","290","medium","veg","healthy,comfort","south-indian","Make pesarattu batter by grinding soaked moong with rice and green chili; Prepare upma by cooking semolina with vegetables and tempering; Spread pesarattu batter thin on tawa; Place a spoon of upma in center; Fold and serve with ginger chutney and sambar; Classic Andhra breakfast combination served at Tirupati"
"162","Chana Madra","chickpeas, yogurt, ghee, cardamom, cloves, cinnamon, bay leaf, cumin, coriander, turmeric, asafoetida, salt","40","320","medium","veg","comfort","north-indian","Pressure cook chickpeas until soft; Heat ghee and add whole spices; Add asafoetida and cumin; Add beaten yogurt and stir continuously on medium heat; Do not let yogurt split; Add turmeric and coriander; Add chickpeas and mix; Simmer on very low heat 15 min; Adjust consistency; Traditional Himachali Dham dish"
"163","Sidu","whole wheat flour, yeast, ghee, walnut, poppy seeds, cardamom, salt","90","380","hard","veg","comfort","north-indian","Mix flour with yeast and warm water and knead; Rest covered 2 hours until doubled; Punch down and divide; Stuff portions with walnut poppy seed and cardamom filling; Shape into buns; Steam in a steamer for 20 min; Remove and apply generous ghee; Serve with ghee and dal; Traditional Himachali bread served at celebrations"
"164","Aloo ke Gutke","potato, mustard seeds, cumin, green chili, turmeric, coriander, dried red chili, oil, salt, coriander leaves","25","220","easy","veg","quick,comfort","north-indian","Boil potatoes and cut into cubes; Heat oil until smoking; Add mustard seeds cumin and dried red chili; Add potato cubes and toss on high heat; Add turmeric and green chili; Toss vigorously until potatoes get crispy coating; Season with salt and coriander; Serve with bhang ki chutney or curd; Pahari staple"
"165","Kafuli","spinach, fenugreek leaves, rice flour, garlic, ginger, green chili, turmeric, cumin, ghee, salt","30","180","medium","veg","healthy,comfort","north-indian","Wash and chop spinach and methi together; Pressure cook with turmeric salt and green chili; Cool and blend smooth; Return to pan; Mix rice flour in a little water and add to thicken; Simmer stirring on low heat; Heat ghee and temper cumin and garlic; Pour into kafuli; Serve with rice or mandua roti; Traditional Garhwali winter green"
"166","Chainsoo Dal","black urad dal, garlic, dried red chili, cumin, turmeric, asafoetida, ghee, salt, coriander","40","280","medium","veg","comfort","north-indian","Dry roast black urad dal until fragrant; Grind roasted dal to coarse powder; Boil water with turmeric and salt; Add dal powder stirring to avoid lumps; Simmer on low heat 20 min until thick; Heat ghee and fry garlic until golden; Add dried red chili and cumin; Add asafoetida and pour into dal; Serve with bhaat and ghee"
"167","Litti Chokha","whole wheat flour, sattu, garlic, ginger, green chili, ajwain, kalonji, mustard oil, eggplant, potato, tomato, lemon, salt","60","480","medium","veg","comfort","north-indian","Mix sattu with garlic ginger green chili ajwain kalonji and mustard oil for filling; Knead dough stuff with sattu and shape into balls; Roast litti over coal or gas flame until charred; Apply ghee generously; Roast eggplant and potato over flame; Peel and mash with tomato onion green chili and mustard oil for chokha; Serve litti with chokha"
"168","Sattu Paratha","whole wheat flour, sattu, onion, green chili, ginger, ajwain, coriander, mustard oil, lemon, salt","30","360","easy","veg","comfort","north-indian","Mix sattu with finely chopped onion green chili ginger ajwain coriander mustard oil and lemon; Season with salt; Knead soft dough; Stuff sattu mixture into dough balls; Roll into thick parathas; Cook on tawa with oil on medium heat; Cook both sides until golden; Serve with pickle and curd; Bihar protein-rich breakfast"
"169","Bisi Bele Bath","rice, toor dal, mixed vegetables, tamarind, coconut, coriander seeds, dried red chili, cardamom, cloves, cinnamon, ghee, mustard seeds, curry leaves, cashews, salt, jaggery","50","380","medium","veg","comfort","south-indian","Pressure cook rice and toor dal together; Dry roast and grind coconut coriander chili and spices to masala; Cook vegetables in tamarind water; Add dal rice and bisi bele bath masala; Add jaggery and salt; Simmer mixing everything; Heat ghee and fry cashews then temper mustard seeds and curry leaves; Pour over bath; Serve hot"
"170","Akki Roti","rice flour, onion, carrot, green chili, ginger, coriander, curry leaves, dill, coconut, oil, salt","20","230","medium","veg","quick,healthy","south-indian","Mix rice flour with finely chopped vegetables herbs coconut and salt; Add hot water gradually and knead into soft but sticky dough; Take banana leaf or wet cloth; Pat dough into thin round roti; Cook on hot tawa drizzling oil around edges; Press gently; Cook until bottom is set then flip; Crisp on both sides; Serve with chutney"
"171","Ennegayi","small brinjal, peanuts, sesame seeds, coconut, coriander seeds, cumin, dried red chili, tamarind, onion, garlic, oil, salt","35","310","medium","veg","comfort","south-indian","Dry roast peanuts sesame coconut and whole spices; Grind with tamarind to masala paste; Slit brinjals keeping stalk intact; Stuff masala paste inside each brinjal; Heat oil and saute onion garlic; Add stuffed brinjals gently; Add remaining masala and water; Cover and cook 20 min; Serve with jolada roti; North Karnataka specialty"
"172","Mangalorean Fish Curry","kingfish, coconut, dried red chili, coriander seeds, cumin, turmeric, tamarind, onion, garlic, tomato, coconut oil, salt","30","350","medium","non-veg","comfort","south-indian","Grind coconut dried red chili coriander cumin turmeric and tamarind to smooth paste; Saute onion and garlic in coconut oil; Add ground paste and cook 5 min; Add tomato and cook; Add water and bring to boil; Add fish pieces and simmer gently 12 min; Do not stir; Serve with neer dosa or rice; Coastal Karnataka classic"
"173","Eromba","fermented fish, potato, boiled vegetables, dried red chili, garlic, mustard oil, salt","20","200","easy","non-veg","quick,healthy","south-indian","Boil potato and any seasonal vegetables until soft; Roast dried red chili and garlic; Pound roasted chili garlic and fermented fish together in mortar; Mash boiled vegetables roughly; Mix pounded paste with mashed vegetables; Add mustard oil and salt; Mix well with hands; Serve with rice; Traditional Manipuri condiment dish"
"174","Bamboo Shoot Pork Curry","pork, bamboo shoot, onion, garlic, ginger, dried red chili, turmeric, king chili, oil, salt","60","420","medium","non-veg","comfort","south-indian","Boil bamboo shoots until tender and drain to remove bitterness; Saute onion garlic ginger in oil; Add pork pieces and sear well; Add dried red chili and turmeric; Add bamboo shoots and mix; Add water and cover; Cook on medium heat 40 min until pork is tender; Add king chili for heat if desired; Northeast staple"
"175","Lucknowi Dum Biryani","basmati rice, chicken, yogurt, fried onion, saffron, rose water, kewra, ghee, whole spices, mint, coriander, garam masala, salt","90","540","hard","non-veg","comfort","north-indian","Marinate chicken in yogurt and mild spices; Parboil rice with whole spices until 70 percent; Cook chicken in white gravy with mild spices until done; Layer chicken gravy in pot; Add rice on top with generous saffron milk rose water and kewra; Top with fried onion and mint; Seal with dough and dum cook 30 min; Awadhi style is mild fragrant and refined"
"176","Kolkata Biryani","basmati rice, mutton, potato, boiled egg, onion, yogurt, saffron, rose water, kewra, ghee, whole spices, meetha attar, salt","100","580","hard","non-veg","comfort","north-indian","Marinate mutton overnight; Parboil rice with whole spices; Fry potato halves golden and set aside; Brown onion to golden; Layer mutton with potatoes and boiled eggs; Add parboiled rice; Drizzle saffron milk rose water kewra and meetha attar; Top with fried onion; Seal and dum cook 45 min; Unique for having potato and egg inside"
"177","Malabar Biryani","jeerakasala rice, chicken, coconut milk, onion, tomato, mint, coriander, ghee, whole spices, garam masala, lemon, fried onion","75","510","hard","non-veg","comfort","south-indian","Parboil short-grain jeerakasala rice with whole spices; Cook chicken in rich masala with coconut milk; Layer in heavy pot with fried onion mint and coriander; Add rice layer and ghee; Seal with lid and dum cook 25 min; The short-grain rice absorbs coconut milk beautifully; Serve with raita pickle and pappadam; Kerala celebration dish"
"178","Dal Makhani","whole black urad dal, kidney beans, butter, cream, onion, tomato, garlic, ginger, cumin, coriander, garam masala, kasuri methi, oil, salt","90","420","medium","veg","comfort","north-indian","Soak urad dal and kidney beans overnight; Pressure cook until completely soft; In separate pan saute garlic ginger in butter; Add tomato puree and cook until thick; Add cooked dal and beans and mash slightly; Simmer on very low heat 30 min stirring occasionally; Add cream and kasuri methi; Slow cooking is key; Serve with naan"
"179","Butter Chicken","chicken, yogurt, butter, cream, tomato, onion, garlic, ginger, kashmiri red chili, garam masala, kasuri methi, cardamom, sugar, salt","45","450","medium","non-veg","comfort","north-indian","Marinate chicken in yogurt spices and lemon; Grill or bake until charred; Make makhani gravy by cooking onion garlic ginger and tomato; Blend smooth and strain; Return to pan with butter and kashmiri chili; Simmer until rich; Add grilled chicken and cream; Add kasuri methi and sugar; Simmer gently; The silky gravy is the soul"
"180","Tandoori Chicken","chicken, yogurt, kashmiri red chili, garlic, ginger, lemon, cumin, coriander, garam masala, oil, salt, chaat masala","40","320","medium","non-veg","healthy,comfort","north-indian","Make deep cuts in chicken pieces; Mix yogurt with all spices garlic ginger and lemon for marinade; Coat chicken and marinate minimum 4 hours; Grill in very hot oven or over charcoal until charred on edges; Baste with oil halfway; Cook until juices run clear; Sprinkle chaat masala and lemon; Serve with onion rings and green chutney"
"181","Achari Chicken","chicken, pickling spices, kalonji, fennel, mustard seeds, fenugreek, dried red chili, yogurt, onion, tomato, oil, salt","40","380","medium","non-veg","comfort","north-indian","Heat oil and fry all pickling spices including kalonji fennel mustard fenugreek and dried red chili; Add onion and brown; Add chicken and sear; Add tomato and cook until thick; Add yogurt and stir; Simmer covered 20 min; The pickling spices give a distinct tangy robust flavor different from regular curries; Serve with paratha"
"182","Appam with Vegetable Stew","idli rice, coconut, yeast, potato, carrot, beans, peas, coconut milk, green chili, ginger, curry leaves, coconut oil, salt","40","350","medium","veg","healthy,comfort","south-indian","Soak and grind rice with coconut; Add yeast and ferment overnight; Make stew by cooking vegetables in thin coconut milk with green chili and ginger; Add thick coconut milk and curry leaves and simmer; Heat appam pan and pour batter; Swirl pan to coat edges thin; Cover and cook until center is set and edges are lacy; Serve appam with stew"
"183","Pongal","raw rice, moong dal, black pepper, cumin, ginger, curry leaves, cashews, ghee, salt, asafoetida","25","320","easy","veg","quick,comfort","south-indian","Dry roast moong dal until fragrant; Pressure cook rice and dal together until very soft and mushy; Heat ghee and fry cashews golden; Temper with black pepper cumin and curry leaves; Add ginger and asafoetida; Mix tempering into cooked rice and dal; Add more ghee and salt; Mash to porridge consistency; Serve with sambar and chutney"
"184","Rasam Vada","urad dal, toor dal, tomato, tamarind, pepper, cumin, dried red chili, mustard seeds, curry leaves, asafoetida, ghee, coriander, salt","35","240","medium","veg","comfort","south-indian","Make medu vada batter and fry round vadas; Prepare rasam by boiling tomato and tamarind; Add pepper cumin powder and salt; Temper mustard seeds dried red chili and curry leaves in ghee; Add to rasam with coriander; Soak freshly fried vadas in hot rasam for 5 min; Serve warm; Vadas absorb rasam and become spongy and flavourful"
"185","Shahi Paneer","paneer, onion, cashews, cream, yogurt, cardamom, cloves, mace, rose water, saffron, ghee, white pepper, salt","35","460","medium","veg","comfort","north-indian","Boil onion and cashews and blend to white paste; Heat ghee and cook paste with whole white spices; Add beaten yogurt stirring constantly; Add saffron milk and mace; Add paneer cubes and cream; Simmer gently 10 min; Add rose water and white pepper; The gravy should be ivory colored and rich; Serve with naan; Mughal heritage dish"
"186","Nihari","lamb shank, onion, ginger, garlic, nihari masala, whole wheat flour, ghee, dried ginger, cardamom, fennel, bone marrow, salt, coriander","180","520","hard","non-veg","comfort","north-indian","Slow cook lamb shank with bone marrow and whole spices overnight or 4 hours; Mix wheat flour with water and add to thicken gravy; Add nihari masala and simmer; Add fried onion and ghee; Rest before serving; Serve topped with fresh ginger julienne coriander and fried onion; A Delhi breakfast eaten with naan; Slow cooking melts bone collagen"
"187","Dahi Gosht","mutton, yogurt, onion, garlic, ginger, cardamom, cloves, cinnamon, bay leaf, ghee, white pepper, salt, coriander","70","450","hard","non-veg","comfort","north-indian","Marinate mutton in thick yogurt and whole spices for 2 hours; Brown onion in ghee until golden; Add mutton with marinade; Cook on high heat first; Lower heat and simmer covered; No water added — yogurt creates its own gravy; Cook until oil separates and mutton is tender; Garnish with coriander; Yogurt-braised mutton from Rajasthan"
"188","Undhiyu","purple yam, raw banana, surti papdi, sweet potato, brinjal, fenugreek dumplings, coconut, garlic, green chili, coriander, sesame, oil, salt","60","370","hard","veg","comfort","north-indian","Make methi dumplings with besan and fenugreek leaves; Grind coconut garlic green chili and spices to masala paste; Layer all vegetables in a pot starting with harder ones; Add masala paste between layers; Drizzle oil and cover tightly; Cook on very low heat 40 min without opening; Shake pot to mix; Serve with puri; Gujarati winter harvest dish"
"189","Kofta Curry","lauki, besan, onion, tomato, garlic, ginger, cashews, cream, coriander, cumin, garam masala, oil, salt","40","350","medium","veg","comfort","north-indian","Grate lauki squeeze out water and mix with besan spices and coriander; Shape into balls and deep fry golden; Make rich gravy by blending boiled onion tomato and cashews; Cook gravy with spices until thick; Add cream and simmer; Place koftas in gravy just before serving; Pour hot gravy over koftas at table so they stay intact"
"190","Tindora Masala","tindora, onion, garlic, ginger, tomato, cumin, coriander, turmeric, red chili, garam masala, oil, salt","25","160","easy","veg","quick,healthy","north-indian","Wash and slit tindora lengthwise; Heat oil and saute garlic onion and ginger; Add tomato and spices and cook until thick; Add tindora and toss well; Cover and cook on medium heat 15 min stirring occasionally; Uncover and cook until tindora is tender and coated in masala; Finish with garam masala; Serve with roti"
"191","Ker Sangri","ker berries, sangri beans, dried red chili, mustard seeds, cumin, turmeric, mango powder, coriander, oil, salt","35","210","medium","veg","comfort","north-indian","Soak ker berries and sangri overnight; Boil until tender and drain; Heat oil and temper mustard seeds cumin and dried red chili; Add soaked and boiled ker sangri; Toss well with turmeric and coriander; Add mango powder for tartness; Cook on low heat 10 min; Adjust seasoning; Traditional Rajasthani desert vegetable dish eaten with bajra roti"
"192","Dabeli","potato, dabeli masala, tamarind chutney, garlic chutney, pomegranate, peanuts, sev, coriander, pav, butter","30","340","medium","veg","comfort","snacks","Boil mash potato with dabeli masala and tamarind; Lightly toast pav with butter; Spread garlic chutney and tamarind chutney inside pav; Fill with potato mixture; Top with pomegranate seeds roasted peanuts sev and coriander; Close pav and press gently; Serve immediately; Kutchi street snack now popular across Gujarat and Mumbai"
"193","Ram Ladoo","moong dal, chana dal, ginger, green chili, asafoetida, oil, radish, green chutney, tamarind chutney, chaat masala, salt","25","270","medium","veg","quick,comfort","snacks","Soak dals and grind coarsely with ginger green chili and asafoetida; Season with salt; Beat batter well for fluffiness; Deep fry small balls until golden crispy; Grate fresh radish and squeeze out water; Place ladoos in bowl; Top with grated radish; Drizzle both chutneys; Sprinkle chaat masala; Delhi winter street food staple"
"194","Frankie","whole wheat flour, chicken or paneer, egg, onion, capsicum, tomato, green chutney, schezwan sauce, chaat masala, oil, salt","25","390","medium","non-veg","quick,comfort","snacks","Make soft roti dough and roll thin; Dip roti in beaten egg and cook on tawa with egg coating; Cook spiced chicken or paneer tikka filling separately; Place filling on roti; Add raw onion green chutney and schezwan sauce; Sprinkle chaat masala; Roll tightly in foil paper; Serve wrapped; Mumbai Tibbs Frankie inspired street roll"
"195","Pav Bhaji Fondue","mixed vegetables, butter, pav bhaji masala, cheese, cream, garlic, onion, tomato, pav, coriander, lemon","30","480","easy","veg","comfort","snacks","Make regular pav bhaji with generous butter; Add cream and grated cheese while bhaji is hot; Stir until cheese melts creating fondue texture; Pour into cast iron or serving pot; Top with more butter cheese and chopped coriander; Serve with toasted butter pav and raw onion; Cheesy twist on Mumbai classic for parties and cafes"
